# prefix,country_code,region_code,city,postal
2a05:dfc1:b400::/48,PL,PL-14,Grodzisk Mazowiecki,08-825
2a05:dfc1:b410::/48,PL,PL-14,Grodzisk Mazowiecki,08-825
